Date: 2023-03-07, North Movement: 14.06800001859665, East Movement: -6.317000021226704
Date: 2023-03-08, North Movement: 13.68999993428588, East Movement: 8.69099993724376
Date: 2023-03-09, North Movement: 16.869999933987856, East Movement: 5.7200000155717134
Date: 2023-03-10, North Movement: 18.256000243127346, East Movement: 7.431000005453825
Date: 2023-03-11, North Movement: 13.519000262022018, East Movement: 2.494000014849007
Date: 2023-03-12, North Movement: 16.28099987283349, East Movement: 8.368000038899481
Date: 2023-03-15, North Movement: 9.296000003814697, East Movement: 0.7050000131130219
Date: 2023-03-16, North Movement: 1.6930000856518745, East Movement: -1.7600000137463212
Date: 2023-03-18, North Movement: 8.987000212073326, East Movement: -0.9749999735504389
Date: 2023-03-19, North Movement: 16.222999896854162, East Movement: 4.769999999552965
Date: 2023-03-21, North Movement: 3.855000250041485, East Movement: -3.0949999345466495
Date: 2023-03-22, North Movement: -2.612999640405178, East Movement: -1.3100000796839595
Date: 2023-04-01, North Movement: 15.064000152051449, East Movement: 5.673999898135662
Date: 2023-04-03, North Movement: 4.880000371485949, East Movement: 2.8330000350251794
Date: 2023-04-04, North Movement: 3.648000303655863, East Movement: -2.6500000385567546
Date: 2023-04-05, North Movement: 3.4260000102221966, East Movement: -3.4669999731704593
Date: 2023-04-06, North Movement: 3.5890000872313976, East Movement: -1.7890000017359853
Date: 2023-04-07, North Movement: 15.362000092864037, East Movement: 8.617000072263181
Date: 2023-04-08, North Movement: 8.031000383198261, East Movement: -6.245999946258962
Date: 2023-04-09, North Movement: 8.580999914556742, East Movement: -5.2399999694898725
Date: 2023-04-10, North Movement: 9.960000403225422, East Movement: -4.373000003397465
Date: 2023-04-11, North Movement: 7.859000004827976, East Movement: -5.858000018633902
Date: 2023-04-12, North Movement: 11.270000133663416, East Movement: 1.9580000080168247
Date: 2023-04-14, North Movement: 3.0780001543462276, East Movement: -2.380999969318509
Date: 2023-04-15, North Movement: 4.869000054895878, East Movement: -5.96500001847744
Date: 2023-04-16, North Movement: 16.43199985846877, East Movement: 4.380000056698918
Date: 2023-04-17, North Movement: 13.015999924391508, East Movement: 8.100999984890223
Date: 2023-04-18, North Movement: 8.667999878525734, East Movement: -5.408999975770712
Date: 2023-04-19, North Movement: 17.77699962258339, East Movement: 9.874000097624958
Date: 2023-04-20, North Movement: 12.70699966698885, East Movement: 5.731999990530312
Date: 2023-04-21, North Movement: 4.015000071376562, East Movement: -6.168999942019582
Date: 2023-04-22, North Movement: 4.048999864608049, East Movement: -4.435000009834766
Date: 2023-04-23, North Movement: 1.482000108808279, East Movement: -1.1300001060590148
Date: 2023-04-24, North Movement: 3.260999917984009, East Movement: -1.7830000724643469
Date: 2023-04-25, North Movement: 7.034000009298325, East Movement: 6.321000051684678
Date: 2023-04-26, North Movement: 14.120999723672867, East Movement: 1.4260000316426158
Date: 2023-04-27, North Movement: 6.923000328242779, East Movement: -7.417999906465411
Date: 2023-04-28, North Movement: 4.56500006839633, East Movement: -12.703999993391335
Date: 2023-04-29, North Movement: 7.949999999254942, East Movement: 2.0749999675899744
Date: 2023-04-30, North Movement: 13.265999965369701, East Movement: 5.928999977186322
Date: 2023-05-01, North Movement: 7.108999881893396, East Movement: 4.315000027418137
Date: 2023-05-02, North Movement: 9.922000113874674, East Movement: -2.328000031411648
Date: 2023-05-03, North Movement: 3.273999784141779, East Movement: -3.575999988242984
Date: 2023-05-04, North Movement: 3.906000405550003, East Movement: -2.009000047110021
Date: 2023-05-05, North Movement: 1.2689996510744095, East Movement: 1.6870000399649143
Date: 2023-05-06, North Movement: 5.322999786585569, East Movement: 5.374999949708581
Date: 2023-05-07, North Movement: 5.926000420004129, East Movement: 3.1530000269412994
Date: 2023-05-08, North Movement: 5.495999939739704, East Movement: 6.416999967768788
Date: 2023-05-09, North Movement: 6.049999967217445, East Movement: 0.5039999959990382
Date: 2023-05-10, North Movement: 3.0499999411404133, East Movement: -2.3059999803081155
Date: 2023-05-11, North Movement: 3.217000048607588, East Movement: 3.137999912723899
Date: 2023-05-12, North Movement: 5.768999923020601, East Movement: -3.3180000027641654
Date: 2023-05-13, North Movement: 10.023999959230423, East Movement: 6.4700000220909715
Date: 2023-05-14, North Movement: 5.648000165820122, East Movement: -8.435999974608421
Date: 2023-05-15, North Movement: 9.054000023752451, East Movement: 3.729000105522573
Date: 2023-05-16, North Movement: 9.670999832451344, East Movement: -15.574999968521297
